#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9Y2D8	uniprotkb:B1AY10	intact:EBI-2212028|uniprotkb:B4DFE3|uniprotkb:J3KR02|uniprotkb:A8K8W0|uniprotkb:D3DT13|uniprotkb:Q6P2P8|uniprotkb:Q6ULS1|uniprotkb:Q7L168|uniprotkb:Q9UIX0|intact:EBI-10964529	intact:EBI-11707102|uniprotkb:Q3U2A7|uniprotkb:Q3UK95|uniprotkb:Q3UMW1|uniprotkb:Q7TPT4|uniprotkb:Q8CC59|uniprotkb:Q9DBC8|uniprotkb:Q9JKW7	psi-mi:adip_human(display_long)|uniprotkb:SSX2IP(gene name)|psi-mi:SSX2IP(display_short)|uniprotkb:KIAA0923(gene name synonym)|uniprotkb:Afadin DIL domain-interacting protein(gene name synonym)|uniprotkb:SSX2-interacting protein(gene name synonym)	psi-mi:nfx1_mouse(display_long)|uniprotkb:Nfx1(gene name)|psi-mi:Nfx1(display_short)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kurtulmus et al. (2016)	pubmed:26675238|imex:IM-25299	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-11695166|imex:IM-25299-9	intact-miscore:0.35
uniprotkb:Q15388	uniprotkb:Q6ZNB6	intact:EBI-711636|uniprotkb:A8K195|uniprotkb:Q498B3|uniprotkb:Q6IBT4	intact:EBI-6117166|uniprotkb:B1Q2K1|uniprotkb:Q86VG1|uniprotkb:Q8WVH1	psi-mi:tom20_human(display_long)|uniprotkb:Mitochondrial 20 kDa outer membrane protein(gene name synonym)|uniprotkb:Outer mitochondrial membrane receptor Tom20(gene name synonym)|uniprotkb:TOMM20(gene name)|psi-mi:TOMM20(display_short)|uniprotkb:KIAA0016(gene name synonym)	psi-mi:nfxl1_human(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:OZFP(gene name synonym)|uniprotkb:Ovarian zinc finger protein(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-20905000|imex:IM-26653-1811	intact-miscore:0.40
uniprotkb:Q71U36	uniprotkb:Q6ZNB6	intact:EBI-302552|intact:EBI-10989786|uniprotkb:A8K0B8|uniprotkb:G3V1U9|uniprotkb:P04687|uniprotkb:P05209	intact:EBI-6117166|uniprotkb:B1Q2K1|uniprotkb:Q86VG1|uniprotkb:Q8WVH1	psi-mi:tba1a_human(display_long)|uniprotkb:TUBA3(gene name synonym)|uniprotkb:TUBA1A(gene name)|psi-mi:TUBA1A(display_short)|uniprotkb:Tubulin B-alpha-1(gene name synonym)|uniprotkb:Tubulin alpha-3 chain(gene name synonym)|uniprotkb:Alpha-tubulin 3(gene name synonym)	psi-mi:nfxl1_human(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:OZFP(gene name synonym)|uniprotkb:Ovarian zinc finger protein(gene name synonym)	psi-mi:"MI:0096"(pull down)	Liu et al. (2018)	pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16799786|imex:IM-26301-79	intact-miscore:0.35
uniprotkb:Q96IP4	uniprotkb:Q12986	intact:EBI-954084|uniprotkb:Q5TF86|uniprotkb:Q8NFZ9|uniprotkb:Q9BW32|uniprotkb:Q9NXV5|uniprotkb:A8K7U4	intact:EBI-2130062|uniprotkb:A8K6H8|uniprotkb:Q5VXW6|uniprotkb:Q96EL5|uniprotkb:Q9BXI1	psi-mi:tet5a_human(display_long)|uniprotkb:TENT5A(gene name)|psi-mi:TENT5A(display_short)|uniprotkb:C6orf37(gene name synonym)|uniprotkb:FAM46A(gene name synonym)|uniprotkb:HBV X-transactivated gene 11 protein(gene name synonym)|uniprotkb:HBV XAg-transactivated protein 11(gene name synonym)|uniprotkb:XTP11(gene name synonym)	psi-mi:nfx1_human(display_long)|uniprotkb:NFX2(gene name synonym)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)|uniprotkb:NFX1(gene name)|psi-mi:NFX1(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Hein et al. (2015)	pubmed:26496610|imex:IM-24272	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11077205|imex:IM-24272-616	intact-miscore:0.35
uniprotkb:Q6P5F9	uniprotkb:Q12986	intact:EBI-2550236	intact:EBI-2130062|uniprotkb:A8K6H8|uniprotkb:Q5VXW6|uniprotkb:Q96EL5|uniprotkb:Q9BXI1	psi-mi:xpo1_mouse(display_long)|uniprotkb:Xpo1(gene name)|psi-mi:Xpo1(display_short)|uniprotkb:Crm1(gene name synonym)|uniprotkb:Chromosome region maintenance 1 protein homolog(gene name synonym)	psi-mi:nfx1_human(display_long)|uniprotkb:NFX2(gene name synonym)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)|uniprotkb:NFX1(gene name)|psi-mi:NFX1(display_short)	psi-mi:"MI:0096"(pull down)	Kirli et al. (2015)	pubmed:26673895|imex:IM-24970	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-11603310|imex:IM-24970-1	intact-miscore:0.35
uniprotkb:Q8IWL3	uniprotkb:Q6ZNB6	intact:EBI-1805738|uniprotkb:Q9BWS7	intact:EBI-6117166|uniprotkb:B1Q2K1|uniprotkb:Q86VG1|uniprotkb:Q8WVH1	psi-mi:hsc20_human(display_long)|uniprotkb:HSCB(gene name)|psi-mi:HSCB(display_short)|uniprotkb:DNAJC20(gene name synonym)|uniprotkb:HSC20(gene name synonym)|uniprotkb:DnaJ homolog subfamily C member 20(gene name synonym)	psi-mi:nfxl1_human(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:OZFP(gene name synonym)|uniprotkb:Ovarian zinc finger protein(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Maio et al. (2017)	pubmed:28380382|imex:IM-25655	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-13943458|imex:IM-25655-3	intact-miscore:0.35
uniprotkb:Q6PDS3	uniprotkb:Q6ZNB6	intact:EBI-6117196|uniprotkb:Q5SYG5|uniprotkb:Q5SYG6|uniprotkb:Q6A054|uniprotkb:Q6SZW0|uniprotkb:Q8BRI9	intact:EBI-6117166|uniprotkb:B1Q2K1|uniprotkb:Q86VG1|uniprotkb:Q8WVH1	psi-mi:sarm1_mouse(display_long)|uniprotkb:Sarm1(gene name)|psi-mi:Sarm1(display_short)|uniprotkb:Kiaa0524(gene name synonym)|uniprotkb:"NADP(+) hydrolase SARM1"(gene name synonym)|uniprotkb:Sterile alpha and TIR motif-containing protein 1(gene name synonym)	psi-mi:nfxl1_human(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:OZFP(gene name synonym)|uniprotkb:Ovarian zinc finger protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Li et al. (2011)	pubmed:21903422|imex:IM-17322	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6117164|imex:IM-17322-54	intact-miscore:0.35
uniprotkb:Q9ZW36	uniprotkb:Q9SY59	intact:EBI-15195245	intact:EBI-15201298	psi-mi:c3h25_arath(display_long)|uniprotkb:F16P2.4(orf name)|uniprotkb:At2g29580(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:1356"(validated two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16393273|imex:IM-25740-21652	intact-miscore:0.49
uniprotkb:Q29QK1	uniprotkb:Q9VZF2	intact:EBI-15109051	intact:EBI-118895|uniprotkb:Q52KA5	psi-mi:q29qk1_drome(display_long)	psi-mi:q9vzf2_drome(display_long)|uniprotkb:cg15011(gene name)|psi-mi:cg15011(display_short)|uniprotkb:Dmel\CG15011(gene name synonym)|uniprotkb:CG15011(orf name)|uniprotkb:Dmel_CG15011(orf name)	psi-mi:"MI:1112"(two hybrid prey pooling approach)	Hu, et al. (2017)	pubmed:unassigned1513|imex:IM-25777	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15147421|imex:IM-25777-6771	intact-miscore:0.49
uniprotkb:Q9ZW36	uniprotkb:Q9SY59	intact:EBI-15195245	intact:EBI-15201298	psi-mi:c3h25_arath(display_long)|uniprotkb:F16P2.4(orf name)|uniprotkb:At2g29580(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:2277"(Cr-two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15373260|imex:IM-25740-3829	intact-miscore:0.49
uniprotkb:Q12952	uniprotkb:Q6ZNB6	intact:EBI-11318699|uniprotkb:Q17RR1|uniprotkb:Q9H242	intact:EBI-6117166|uniprotkb:B1Q2K1|uniprotkb:Q86VG1|uniprotkb:Q8WVH1	psi-mi:foxl1_human(display_long)|uniprotkb:FOXL1(gene name)|psi-mi:FOXL1(display_short)|uniprotkb:FKHL11(gene name synonym)|uniprotkb:FREAC7(gene name synonym)|uniprotkb:Forkhead-related protein FKHL11(gene name synonym)|uniprotkb:Forkhead-related transcription factor 7(gene name synonym)	psi-mi:nfxl1_human(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:OZFP(gene name synonym)|uniprotkb:Ovarian zinc finger protein(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Li et al. (2015)	imex:IM-24178|pubmed:25609649	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT)	intact:EBI-11321256|imex:IM-24178-174	intact-miscore:0.35
uniprotkb:P40449	uniprotkb:P53971	intact:EBI-25311|uniprotkb:D6VVC5	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:yiq1_yeast(display_long)|uniprotkb:YIL161W(locus name)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan et al. (2006)	pubmed:16554755|imex:IM-15332|mint:MINT-5218454	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8009872|mint:MINT-2357807|imex:IM-15332-22994	intact-miscore:0.63
uniprotkb:P53141	uniprotkb:P53971	intact:EBI-10988|uniprotkb:D6VU40	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:mlc1_yeast(display_long)|uniprotkb:Myosin-2 light chain(gene name synonym)|uniprotkb:Calmodulin-like myosin light chain MLC1(gene name synonym)|uniprotkb:G3080(orf name)|uniprotkb:MLC1(gene name)|psi-mi:MLC1(display_short)|uniprotkb:YGL106W(locus name)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan et al. (2006)	pubmed:16554755|imex:IM-15332|mint:MINT-5218454	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8009889|mint:MINT-2357825|imex:IM-15332-19648	intact-miscore:0.40
uniprotkb:P15646	uniprotkb:P53971	intact:EBI-6838|uniprotkb:D6VRX5|uniprotkb:P89890	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:fbrl_yeast(display_long)|uniprotkb:U3 small nucleolar RNA-associated protein NOP1(gene name synonym)|uniprotkb:Histone-glutamine methyltransferase(gene name synonym)|uniprotkb:NOP1(gene name)|psi-mi:NOP1(display_short)|uniprotkb:LOT3(gene name synonym)|uniprotkb:YDL014W(locus name)|uniprotkb:D2870(orf name)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan et al. (2006)	pubmed:16554755|imex:IM-15332|mint:MINT-5218454	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8009907|mint:MINT-2357842|imex:IM-15332-16050	intact-miscore:0.40
uniprotkb:Q9VNF8	uniprotkb:P40798	intact:EBI-158145	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9vnf8_drome(display_long)|uniprotkb:Sec23(gene name)|psi-mi:Sec23(display_short)|uniprotkb:sec23(gene name synonym)|uniprotkb:Dmel_CG1250(orf name)|uniprotkb:CG1250(orf name)|uniprotkb:COPII(gene name synonym)|uniprotkb:Dmel\CG1250(gene name synonym)|uniprotkb:SEC23(gene name synonym)|uniprotkb:Sec23A(gene name synonym)|uniprotkb:Sec23p(gene name synonym)|uniprotkb:dSec23(gene name synonym)|uniprotkb:dSec23p(gene name synonym)|uniprotkb:dar2(gene name synonym)|uniprotkb:dsec23(gene name synonym)|uniprotkb:dsec23p(gene name synonym)|uniprotkb:hau(gene name synonym)|uniprotkb:Hau(gene name synonym)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-223310|imex:IM-16524-5898	author score:0.25|author score:low|intact-miscore:0.37
uniprotkb:P26308	uniprotkb:P40798	intact:EBI-160827|uniprotkb:Q9VXM8	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:gbb1_drome(display_long)|uniprotkb:Gbeta13F(gene name)|psi-mi:Gbeta13F(display_short)|uniprotkb:Gb13F(gene name synonym)|uniprotkb:CG10545(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-204115|imex:IM-16524-1573	author score:0.39|author score:low|intact-miscore:0.37
uniprotkb:P53971	uniprotkb:P20081	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-6961|uniprotkb:D6W147	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:fkbp_yeast(display_long)|uniprotkb:Peptidyl-prolyl cis-trans isomerase(gene name synonym)|uniprotkb:Rapamycin-binding protein(gene name synonym)|uniprotkb:RBP1(gene name synonym)|uniprotkb:N1213(orf name)|uniprotkb:N1845(orf name)|uniprotkb:YNL135C(locus name)|uniprotkb:FPR1(gene name)|psi-mi:FPR1(display_short)|uniprotkb:FKB1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Ho et al. (2002)	pubmed:11805837|doi:10.1038/415180a|imex:IM-8299	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16269055|imex:IM-8299-112|dip:DIP-91088E	intact-miscore:0.61
uniprotkb:P53971	uniprotkb:P05150	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-12712|uniprotkb:D6VW96	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:otc_yeast(display_long)|uniprotkb:Ornithine transcarbamylase(gene name synonym)|uniprotkb:ARG3(gene name)|psi-mi:ARG3(display_short)|uniprotkb:YJL088W(locus name)|uniprotkb:J0924(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Ho et al. (2002)	pubmed:11805837|doi:10.1038/415180a|imex:IM-8299	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(DIP)	intact:EBI-16269055|imex:IM-8299-112|dip:DIP-91088E	intact-miscore:0.35
uniprotkb:P53971	uniprotkb:P40449	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-25311|uniprotkb:D6VVC5	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:yiq1_yeast(display_long)|uniprotkb:YIL161W(locus name)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-801615	intact-miscore:0.63
uniprotkb:P53971	uniprotkb:P32905	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-16032|uniprotkb:D6VUZ7	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:rssa1_yeast(display_long)|uniprotkb:Nucleic acid-binding protein NAB1A(gene name synonym)|uniprotkb:YGR214W(locus name)|uniprotkb:Small ribosomal subunit protein uS2-A(gene name synonym)|uniprotkb:RPS0A(gene name)|psi-mi:RPS0A(display_short)|uniprotkb:NAB1(gene name synonym)|uniprotkb:NAB1A(gene name synonym)|uniprotkb:YST1(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-801615	intact-miscore:0.44
uniprotkb:P53971	uniprotkb:P05317	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-15447|uniprotkb:D6VYX8	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:rla0_yeast(display_long)|uniprotkb:Large ribosomal subunit protein uL10(gene name synonym)|uniprotkb:RPP0(gene name)|psi-mi:RPP0(display_short)|uniprotkb:L10E(gene name synonym)|uniprotkb:RPA0(gene name synonym)|uniprotkb:RPL10E(gene name synonym)|uniprotkb:RPLA0(gene name synonym)|uniprotkb:YLR340W(locus name)|uniprotkb:L8300.8(orf name)|uniprotkb:L10e(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-801615	intact-miscore:0.44
uniprotkb:P53971	uniprotkb:P05737	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-15422|uniprotkb:D6VU68|uniprotkb:P87029	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:rl7a_yeast(display_long)|uniprotkb:L6(gene name synonym)|uniprotkb:YL8(gene name synonym)|uniprotkb:RP11(gene name synonym)|uniprotkb:Large ribosomal subunit protein uL30-A(gene name synonym)|uniprotkb:YGL076C(locus name)|uniprotkb:RPL7A(gene name)|psi-mi:RPL7A(display_short)|uniprotkb:RPL6A(gene name synonym)|uniprotkb:RPL8A(gene name synonym)|uniprotkb:YL8A(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-801615	intact-miscore:0.44
uniprotkb:P53971	uniprotkb:P26321	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-15398|uniprotkb:D6W3N6	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:rl5_yeast(display_long)|uniprotkb:L1(gene name synonym)|uniprotkb:L1a(gene name synonym)|uniprotkb:YL3(gene name synonym)|uniprotkb:Ribosomal 5S RNA-binding protein(gene name synonym)|uniprotkb:Large ribosomal subunit protein uL18(gene name synonym)|uniprotkb:RPL1(gene name synonym)|uniprotkb:RPL1A(gene name synonym)|uniprotkb:RPL5(gene name)|psi-mi:RPL5(display_short)|uniprotkb:YPL131W(locus name)|uniprotkb:LPI14W(orf name)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-801615	intact-miscore:0.44
uniprotkb:P53971	uniprotkb:P10664	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-15390|uniprotkb:D6VQ32	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:rl4a_yeast(display_long)|uniprotkb:L2(gene name synonym)|uniprotkb:YL2(gene name synonym)|uniprotkb:RP2(gene name synonym)|uniprotkb:Large ribosomal subunit protein uL4-A(gene name synonym)|uniprotkb:RPL4A(gene name)|psi-mi:RPL4A(display_short)|uniprotkb:RPL2(gene name synonym)|uniprotkb:RPL2A(gene name synonym)|uniprotkb:YBR031W(locus name)|uniprotkb:YBR0315(orf name)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-801615	intact-miscore:0.44
uniprotkb:P53971	uniprotkb:P50095	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-9190|uniprotkb:D6VZ67	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:imdh3_yeast(display_long)|uniprotkb:L9753.4(orf name)|uniprotkb:YLR432W(locus name)|uniprotkb:IMD3(gene name)|psi-mi:IMD3(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-801615	intact-miscore:0.44
uniprotkb:P53971	uniprotkb:P50095	intact:EBI-28638|uniprotkb:D6W1F6	intact:EBI-9190|uniprotkb:D6VZ67	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:imdh3_yeast(display_long)|uniprotkb:L9753.4(orf name)|uniprotkb:YLR432W(locus name)|uniprotkb:IMD3(gene name)|psi-mi:IMD3(display_short)	psi-mi:"MI:0363"(inferred by author)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-818118	intact-miscore:0.44
